District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
212,Katihar,3071029,2516,2941,Bihar,25.56565356037151,87.70466083591326,42.0,92.0
213,Madhepura,2001762,1494,1397,Bihar,25.77341929460581,86.8978443983403,42.0,91.0
214,Saharsa,1900661,1582,1668,Bihar,25.821270696721303,86.54670819672135,42.0,91.0
215,Darbhanga,3937385,3514,6280,Bihar,26.146187719298258,85.97387352472099,46.0,91.0
216,Muzaffarpur,4801062,4105,10290,Bihar,26.18664417177915,85.32745092024543,52.0,90.0
217,Gopalganj,2562012,2370,3707,Bihar,26.44874364161851,84.34636127167629,54.0,102.0
218,Siwan,3330464,3014,3834,Bihar,26.1736372013652,84.33766552901022,58.0,99.0
219,Saran,3951862,3667,4509,Bihar,25.89656077844312,84.82266287425155,55.0,95.0
220,Vaishali,3495021,2930,4810,Bihar,25.8134703180212,85.39247597173153,55.0,89.0
221,Samastipur,4261566,3500,5379,Bihar,25.793205563909765,85.94833323308269,50.0,91.0
222,Begusarai,2970541,2354,4644,Bihar,25.54302613168723,86.12560144032932,52.0,89.0
223,Khagaria,1666886,1254,1580,Bihar,25.53558891454964,86.56593256351037,46.0,89.0
224,Bhagalpur,3037766,2814,6764,Bihar,25.277192885375477,87.04213814229242,52.0,88.0
225,Banka,2034763,1738,1704,Bihar,24.832355642023337,86.8664916342413,47.0,91.0
226,Munger,1367765,1424,2653,Bihar,25.198537962962963,86.54173672839504,59.0,88.0
227,Lakhisarai,1000912,904,1186,Bihar,25.183449321266963,86.12825701357468,51.0,90.0
228,Sheikhpura,636342,565,631,Bihar,25.12472436548223,85.77839390862943,52.0,93.0
229,Nalanda,2877653,2578,4156,Bihar,25.229345508982053,85.48053113772461,53.0,92.0
230,Patna,5838465,7065,40692,Bihar,25.40297114503818,85.3198433587787,59.0,90.0
231,Bhojpur,2728407,2600,3661,Bihar,25.50666439393939,84.49407803030304,59.0,91.0
232,Buxar,1706352,1556,1784,Bihar,25.48593018867924,84.08808081760995,58.0,92.0
234,Rohtas,2959918,1555,4594,Bihar,24.99170460829495,83.9350762672811,61.0,92.0
235,Aurangabad,2540073,2215,2362,Bihar,24.774291867469877,84.45986024096379,58.0,93.0
235,Aurangabad,2540073,2215,2362,Maharashtra,20.0979228832952,75.32072196796334,58.0,93.0
515,Aurangabad,3701282,8119,23258,Bihar,24.774291867469877,84.45986024096379,68.0,92.0
515,Aurangabad,3701282,8119,23258,Maharashtra,20.0979228832952,75.32072196796334,68.0,92.0
236,Gaya,4391418,3998,6856,Bihar,24.7266541547278,84.94291217765044,52.0,94.0
237,Nawada,2219146,1924,1841,Bihar,24.825708836206903,85.61594568965519,49.0,94.0
238,Jamui,1760405,1516,1839,Bihar,24.78418380462726,86.26316298200514,49.0,92.0
239,Jehanabad,1125313,960,1106,Bihar,25.155679045643165,84.9208124481328,55.0,92.0
245,Tawang,49977,348,96,Arunachal Pradesh,27.680683962264148,91.82504245283016,52.0,71.0
246,West Kameng,83947,348,202,Arunachal Pradesh,27.46486582278483,92.65015750452083,58.0,82.0
247,East Kameng,78690,348,57,Arunachal Pradesh,27.371194055944056,93.04741486013997,49.0,103.0
248,Papum Pare,176573,644,2477,Arunachal Pradesh,27.273529716981127,93.54468183962264,69.0,98.0
249,Upper Subansiri,83448,348,139,Arunachal Pradesh,28.277196566523585,93.8991435622318,54.0,100.0
250,West Siang,112274,348,303,Arunachal Pradesh,28.106296920289843,94.53510344202908,58.0,93.0
251,East Siang,99214,644,450,Arunachal Pradesh,28.15382352941176,95.06499226006191,63.0,98.0
252,Upper Siang,35320,348,97,Arunachal Pradesh,28.8309244897959,95.00155765306124,52.0,89.0
253,Changlang,148226,348,170,Arunachal Pradesh,27.36048479338845,96.37552644628106,49.0,93.0
254,Tirap,111975,348,98,Arunachal Pradesh,26.94406229508198,95.41470327868862,43.0,94.0
255,Lower Subansiri,83030,348,381,Arunachal Pradesh,27.70849297297297,93.96226108108112,65.0,98.0
256,Kurung Kumey,92076,348,95,Arunachal Pradesh,28.04853351800553,93.24531994459834,40.0,103.0
258,Lower Dibang Valley,54080,348,207,Arunachal Pradesh,28.32651730103806,95.76567335640142,59.0,93.0
259,Lohit,145726,348,312,Arunachal Pradesh,27.946785273972623,96.59670770547945,57.0,91.0
261,Mon,250260,381,178,Nagaland,26.69207374301676,95.03072988826828,48.0,90.0
262,Mokokchung,194622,346,537,Nagaland,26.478911764705888,94.522426006192,82.0,93.0
263,Zunheboto,140757,275,261,Nagaland,26.028178205128206,94.50026666666668,73.0,98.0
264,Wokha,166343,359,198,Nagaland,26.202611551155112,94.1990815181518,77.0,97.0
265,Dimapur,378811,866,3303,Nagaland,25.814176811594223,93.75074057971014,73.0,92.0
266,Phek,163418,219,170,Nagaland,25.63272986577182,94.56814563758392,65.0,95.0
267,Tuensang,196596,228,155,Nagaland,26.21104453280316,94.85809880715708,60.0,93.0
270,Kohima,267988,677,1928,Nagaland,25.60311428571428,93.78600657596373,74.0,93.0
272,Senapati,479148,823,256,Manipur,25.08465586034914,94.03366234413956,55.0,94.0
273,Tamenglong,140651,90,125,Manipur,24.98312942238265,93.49450740072204,60.0,94.0
274,Churachandpur,274143,327,837,Manipur,24.30309718875504,93.38671506024085,71.0,97.0
